team1_form,team2_form,head_to_head,venue_win_rate_t1,venue_win_rate_t2,venue_avg_score,toss_advantage,season,target
0.4,0.4,0.4,0.5416666666666666,0.5,321.8333333333333,1,2013,1
0.8,0.6,0.6363636363636364,0.6285714285714286,0.25,317.3611111111111,0,2013,1
0.2,0.4,0.5,0.4375,0.5,303.5,0,2013,0
0.6,0.4,1.0,0.53125,0.0,306.57575757575756,0,2013,1
0.2,0.6,0.2,0.5806451612903226,0.75,280.258064516129,1,2013,0
0.8,0.6,0.6,0.6388888888888888,0.5,318.81081081081084,0,2013,1
0.2,0.6,0.5,0.5625,0.5,281.53125,0,2013,1
0.4,0.6,0.7777777777777778,0.6785714285714286,0.0,295.4642857142857,0,2013,1
0.6,0.6,0.5,0.5454545454545454,0.6666666666666666,290.88,1,2013,1
0.8,0.4,0.6363636363636364,0.6486486486486487,0.4,318.8157894736842,0,2013,1
0.2,0.2,0.5,0.5,0.5,322.702024291498,0,2013,1
0.6,0.4,0.4,0.6896551724137931,0.75,295.2758620689655,1,2013,1
0.6,0.6,0.4,0.5652173913043478,0.5,292.38461538461536,1,2013,1
0.2,1.0,0.4,0.3,0.0,280.72727272727275,0,2013,0
0.4,0.2,0.4,1.0,0.5,313.0,0,2013,1
0.4,0.6,0.4,0.23809523809523808,1.0,311.95238095238096,0,2013,1
1.0,0.4,0.6363636363636364,0.6578947368421053,0.3333333333333333,320.53846153846155,1,2013,1
0.0,0.4,0.0,0.2727272727272727,1.0,281.5833333333333,0,2013,0
0.2,0.6,0.45454545454545453,0.5757575757575758,0.25,282.06060606060606,0,2013,1
0.6,0.6,0.4166666666666667,0.2727272727272727,1.0,309.54545454545456,0,2013,1
0.6,1.0,0.5833333333333334,0.5833333333333334,0.4,294.2962962962963,1,2013,1
0.4,0.0,0.75,0.7,0.0,296.9,0,2013,1
0.4,0.6,0.5,0.56,0.6666666666666666,323.8,1,2013,1
